name;faculty_code
Pendidikan Luar Sekolah (S1);FIP
Teknologi Pendidikan (S1);FIP
Pendidikan Guru PAUD (S1);FIP
Pendidikan Guru Sekolah Dasar (S1);FIP
Psikologi (S1);FIP
Bimbingan dan Konseling (S1);FIP
Pendidikan Bahasa Mandarin (S1);FBS
Pendidikan Bahasa Inggris (S1);FBS
Sastra Inggris (S1);FBS
Pendidikan Seni Musik (S1);FBS
Pendidikan Seni Tari (S1);FBS
Desain Komunikasi Visual (D3);FBS
Seni Rupa (S1);FBS
Pendidikan Seni Rupa (S1);FBS
Pendidikan Bahasa Jepang (S1);FBS
Sastra Prancis (S1);FBS
Pendidikan Bahasa Arab (S1);FBS
Pendidikan Bahasa Prancis (S1);FBS
Sastra Jawa (S1);FBS
Pendidikan Bahasa Jawa (S1);FBS
Sastra Indonesia (S1);FBS
Pendidikan Bahasa dan Sastra Indonesia (S1);FBS
Pendidikan IPS (S1);FIS
Ilmu Politik (S1);FIS
Pendidikan Sosiologi & Antropologi (S1);FIS
Pendidikan PKn (S1);FIS
Survey dan Pemetaan Wilayah (D3);FIS
Geografi (S1);FIS
Pendidikan Geografi (S1);FIS
Ilmu Sejarah (S1);FIS
Pendidikan Sejarah (S1);FIS
Ilmu Lingkungan (S1);FMIPA
Sistem Informasi (S1);FMIPA
Farmasi (S1);FMIPA
Teknik Informatika (S1);FMIPA
Pendidikan IPA (S1);FMIPA
Biologi (S1);FMIPA
Pendidikan Biologi (S1);FMIPA
Kimia (S1);FMIPA
Pendidikan Kimia (S1);FMIPA
Fisika (S1);FMIPA
Pendidikan Fisika (S1);FMIPA
Statistika Terapan dan Komputasi (D3);FMIPA
Matematika (S1);FMIPA
Pendidikan Matematika (S1);FMIPA
Pendidikan Kesejahteraan Keluarga (S1);FT
Pendidikan Tata Boga (S1);FT
Pendidikan Teknik Otomotif (S1);FT
Teknik Kimia (S1);FT
Pendidikan Tata Kecantikan (S1);FT
Pendidikan Tata Busana (S1);FT
Teknik Elektro (S1);FT
Pendidikan Teknik Informatika dan Komputer (S1);FT
Pendidikan Teknik Elektro (S1);FT
Teknik Mesin (S1);FT
Pendidikan Teknik Mesin (S1);FT
Teknik Sipil (S1);FT
Teknik Arsitektur (S1);FT
Pendidikan Teknik Bangunan (S1);FT
Ekonomi Pembangunan (S1);FE
Manajemen Perkantoran (D3);FE
Manajemen (S1);FE
Akuntansi (D3);FE
Akuntansi (S1);FE
Pendidikan Ekonomi Administrasi Perkantoran (S1);FE
Pendidikan Ekonomi Koperasi (S1);FE
Pendidikan Ekonomi Akuntansi (S1);FE
Gizi (S1);FIO
Pendidikan Jasmani Sekolah Dasar (S1);FIO
Kesehatan Masyarakat (S1);FIO
Pendidikan Kepelatihan Olah Raga (S1);FIO
Ilmu Keolahragaan (S1);FIO
Pendidikan Jasmani, Kesehatan dan Rekreasi (S1);FIO
Ilmu Hukum (S1);FH
Pendidikan Geografi (S2);PSC
Pendidikan Bahasa (S3);PSC
Pendidikan Olahraga (S3);PSC
Manajemen Kependidikan (S3);PSC
Penelitian dan Evaluasi Pendidikan (S2);PSC
Kurikulum dan Teknologi Pembelajaran (S2);PSC
Pendidikan Seni (S2);PSC
Pendidikan Dasar (S2);PSC
Pendidikan Olahraga (S2);PSC
Pendidikan Matematika (S2);PSC
Pendidikan IPA (S2);PSC
Pendidikan IPS (S2);PSC
Pendidikan Bahasa Inggris (S2);PSC
Pendidikan Bahasa Indonesia (S2);PSC
Bimbingan dan Konseling (S2);PSC
Manajemen Pendidikan (S2);PSC
